title,rating,release year,user rating score
PokÌ©mon: Indigo League,TV-Y,2000,74
Ratchet and Clank,PG,2016,74
The Adventures of Puss in Boots,TV-Y7-FV,2016,78
PokÌ©mon: XY,TV-Y7-FV,2015,56
The Little Rascals,PG,1994,86
Flubber,PG,1997,83
Tarzan,G,1999,95
The Emperor's New Groove,G,2000,95
Lilo & Stitch,PG,2002,95
Scooby-Doo 2: Monsters Unleashed,PG,2004,82
The Pacifier,PG,2005,91
Bee Movie,PG,2007,94
Kung Fu Panda,PG,2008,91
Super Why!,TV-Y,2015,68
Jessie,TV-G,2015,88
Lab Rats,TV-Y7,2016,85
Pocoyo,TV-Y,2007,67
Dragons: Race to the Edge,TV-Y7-FV,2017,88
Little Einsteins,TV-Y,2007,70
Hotel Transylvania 2,PG,2015,93
Dawn of the Croods,TV-Y7,2017,72
Kung Fu Panda 3,PG,2016,92
Open Season: Scared Silly,PG,2015,72
Alice Through the Looking Glass,PG,2016,96
Goldie & Bear,TV-Y,2016,77
Antz,PG,1998,80
Chicken Run,G,2000,80
Spy Kids 3: Game Over,PG,2003,64
Annie,PG,1982,68
Mulan 2,G,2004,85
Lilo & Stitch 2: Stitch Has A Glitch,PG,2005,85
DreamWorks Shrek's Swamp Stories,TV-PG,2008,56
The Magic School Bus,TV-Y,1997,81
Sofia the First,TV-Y,2015,82
Barbie Life in the Dreamhouse,TV-G,2012,85
Paddington,PG,2014,70
Minions,PG,2015,96
The Little Prince,PG,2015,71
Cool Runnings,PG,1993,81
Homeward Bound: The Incredible Journey,G,1993,96
Anastasia,G,1997,93
Missione Hamburger,PG,1997,75
Curious George,G,2006,55
Secret of the Wings,G,2012,65
Walt Disney Animation Studios Short Films Collection,TV-G,2015,84
Bunk'd,TV-G,2016,61
The BFG,PG,2016,97
The Real Ghostbusters,TV-Y7,1990,65
The Prince of Egypt,PG,1998,81
The Road to El Dorado,PG,2000,91
Pocahontas II: Journey to a New World,TV-G,1998,64
Fantasia,G,1940,61
An American Tail,G,1986,67
Balto,G,1995,64
Brother Bear 2,G,2006,57
Animaniacs,TV-Y7,1997,72
The Pirate Fairy,G,2014,57
FernGully: The Last Rainforest,G,1992,70
Harry and the Hendersons,PG,1987,58
Atlantis: The Lost Empire,PG,2001,96
Atlantis: Milo's Return,G,2003,79
Corpse Bride,PG,2005,91
Baby's Day Out,PG,1994,71
Blank Check,PG,1994,93
Heavyweights,PG,1995,74
D2: The Mighty Ducks,PG,1994,70
Honey I Shrunk the Kids,PG,1989,80
H2O: Just Add Water,TV-PG,2009,74
